순위,책 제목,저자,정가,세일가
1,흔한남매. 4,흔한남매(원작),12000,10800
2,제11회 젊은작가상 수상작품집(2020),강화길,5500,4950
3,더 해빙(The Having),이서윤,16000,14400
4,"펭수, 디 오리지널",EBS,18000,16200
5,당신이 옳다(교보문고 단독 리커버)(찰스 장 아트 에디션),정혜신,15800,14220
6,녹나무의 파수꾼,히가시노 게이고,17800,16020
7,1cm 다이빙,태수,13500,12150
8,날씨가 좋으면 찾아가겠어요(드라마 방영 기념 한정판),이도우,13800,12420
9,하버드 상위 1퍼센트의 비밀(하드커버 리커버 에디션),정주영,16000,14400
10,설민석의 한국사 대모험. 13,설민석,12000,10800
11,타인의 해석,말콤 글래드웰,18500,16650
12,내일의 부. 1: 알파편,조던 김장섭,16000,14400
13,페스트,알베르 카뮈,13000,11700
14,내가 원하는 것을 나도 모를 때,전승환,16000,14400
15,지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,19800,17820
16,주식투자 무작정 따라하기(2020),윤재수,18000,16200
17,펭수 펭아트 #컬러링북,한결,18000,16200
18,존리의 부자되기 습관,존리,15000,13500
19,데일 카네기 인간관계론,데일 카네기,11500,10350
20,데미안(초판본)(리커버 한정판),헤르만 헤세,12000,10800
